Algoritmo,Arquivo,Execucao,Parametros,Tempo_Inicio,Tempo_Termino,Tempo_Total,Melhor_Fitness
GA,art_20_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:47:55.466183,2026-04-28 13:50:13.796365,0:02:18.330182,389.40062145678917
GA,art_20_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:01.721420,2026-04-28 13:49:05.910547,0:01:04.189127,103.9220482875133
GA,art_20_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:04.955030,2026-04-28 13:50:16.517831,0:02:11.562801,282.9319934614495
GA,art_20_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:13.505925,2026-04-28 13:49:27.345079,0:01:13.839154,206.9220388869684
GA,art_20_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:19.328474,2026-04-28 13:49:47.844430,0:01:28.515956,308.42973640344024
GA,art_20_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:20.673955,2026-04-28 13:49:56.355084,0:01:35.681129,286.1034948709955
GA,art_21_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:36.188026,2026-04-28 13:49:45.030535,0:01:08.842509,287.00852185478925
GA,art_21_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:38.299042,2026-04-28 13:49:34.556727,0:00:56.257685,106.94039593503987
GA,art_21_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:55.745389,2026-04-28 13:52:05.277782,0:03:09.532393,411.5356746316891
GA,art_21_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:48:58.354534,2026-04-28 13:50:09.463899,0:01:11.109365,142.62973718023315
GA,art_21_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:08.357317,2026-04-28 13:52:42.950931,0:03:34.593614,302.73428613901535
GA,art_21_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:08.750827,2026-04-28 13:50:45.888371,0:01:37.137544,340.7187578401598
GA,art_22_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:10.228611,2026-04-28 13:50:16.275892,0:01:06.047281,115.26265443204913
GA,art_22_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:20.581078,2026-04-28 13:51:03.666867,0:01:43.085789,224.99118985908996
GA,art_22_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:30.917514,2026-04-28 13:51:49.209712,0:02:18.292198,382.86315005691154
GA,art_22_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:36.281178,2026-04-28 13:51:21.462910,0:01:45.181732,238.4591523262364
GA,art_22_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:37.334323,2026-04-28 13:51:43.254657,0:02:05.920334,242.29808075679296
GA,art_22_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:49.368126,2026-04-28 13:51:24.529082,0:01:35.160956,257.6207790597949
GA,art_23_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:51.639611,2026-04-28 13:53:32.310490,0:03:40.670879,426.1906731451982
GA,art_23_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:49:51.946989,2026-04-28 13:51:03.643198,0:01:11.696209,195.1586128779425
GA,art_23_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:50:00.095863,2026-04-28 13:50:59.389969,0:00:59.294106,81.82118941591898
